MOVIE_NUM,movie_title,ott_release_month
2389,그린치(2000),201607
2393,아일랜드제로,202007
2394,악질경찰(2019),201904
2397,안나,201909
2398,겟스마트,201504
2399,어떤살인,201511
2402,우리집(2019),201910
2404,스타워즈3:시스의복수,201701
2405,위대한유산,201305
2406,맘마미아,201303
2408,다운시커,202001
2419,신문기자,201911
2422,토르:라그나로크,201801
2426,살인의추억,201906
2431,역모:반란의시대,201712
2434,은실이,202003
2436,반지의제왕2:두개의탑,201701
2438,더킹,201702
2450,김씨표류기,201302
2452,스워드피쉬(2001),202001
2454,OCEAN가입하기,202009
2455,아무도모른다(2004),201702
2457,가비(2012),201803
2460,두근두근(2017),201708
2461,레고무비,201503
2462,빅대디(1999),201902
2465,펄프픽션,201403
2466,강철중:공공의적1-1,201410
2471,퀸오브하츠,201909
2472,리:본,201809
2473,어벤져스,201701
2474,드래곤블레이드:천장웅사,201812
2478,내가고백을하면,202101
2482,아기배달부스토크,201701
2488,레고DC코믹스수퍼히어로:우주전쟁,201603
2489,더웨이백,202004
2491,신데렐라,201305
2493,개를훔치는완벽한방법,201612
2495,작은소망,202008
2497,새구두를사야해,201611
2504,레볼루셔너리로드,201701
2506,워크래프트:전쟁의서막,201701
2508,더원(2001),202003
2512,블라인드,201304
2522,프릭스,202001
2523,가디언즈오브갤럭시VOL.2,201806
2526,특수부대백호2,202103
2531,베이컨시,201707
2536,이태원살인사건,202002
2542,소울오브브레드,201612
2550,자객섭은낭,201907
2551,6솔져스,201905
2558,투문정션,201705
2560,니드포스피드,201701
2568,스페셜포스:블러드마운틴[UHD],201708
2569,김복남살인사건의전말,201304
2579,블랙앤화이트:던오브저스티스,201505
2582,파티마의기적,202012
2587,피터팬:아무도몰랐던이야기,201605
2589,붉은다리아래따뜻한물,201909
2591,교주전:천공의눈,201709
2596,종이달,202001
2598,로그온배틀그라운드,201711
2602,쌍칼,202003
2605,히치하이크,201904
2606,미스터스마일,201901
2607,127시간,201507
2611,벅스라이프,201405
2613,라쇼몽,201312
2616,캐치미이프유캔,201308
2618,일진2,201810
2623,감쪽같은그녀,201912
2629,행복한장의사,201305
2635,트랜스포머3,201112
2637,가베:그녀의숲,202101
2638,마담프루스트의비밀정원,202002
2641,황야의무법자,201811
2642,분노의윤리학,201901
2649,레지던트이블:파멸의날,201703
2651,래디우스,201902
2652,컨저링,201807
2654,맨인블랙:인터내셔널,201907
2657,팅커벨5:해적요정,201405
2662,진주만,201510
2664,크리미널스쿼드,201804
2666,그랜토리노,201504
2668,콘티키:위대한항해,202004
2672,윔피키드(2010),201904
2673,폴리스스토리(1985),202004
2674,108:잠들수없는시간,201812
2697,존말코비치되기(1999),201910
2698,당신이잠든사이에,202003
2703,페임,202004
2704,탐정홍길동:사라진마을,201610
2706,올라프의겨울왕국어드벤처,201804
2711,무협강호,202011
2723,아메리칸뷰티,201305
2734,데스숏컷,202102
2736,고질라(1998),201901
2737,미녀는괴로워(2006),201907
2738,도어락,201812
2740,해안가로의여행,201905
2742,보디가드(1992),201506
2757,슈퍼맨:언바운드,201505
2758,"그날,바다",201805
2763,디바(2020),202010
2764,몬태나,201805
2765,메이메이쇼핑몰의기적,201701
2767,모든것을벗어던진특별한여행,202008
2768,돈,201904
2776,나는부정한다,201705
2777,모범시민,202011
2785,범블비,201901
2786,모터싸이클다이어리,201612
2788,럭키가이,201904
2794,툼레이더2:판도라의상자,201601
2801,키다리아저씨,201410
2808,스윙어:막장불륜멜로,201912
2810,뱅크잡:리뎀션,201801
2813,수퍼배드(2007),202003
2815,서유기:모험의시작,201909
2817,로맨틱홀리데이,201506
2819,더파이브,201909
2820,내부자들:디오리지널,201601
2822,쾌찬차(1984),201807
2824,섹스앤더시티,201504
2828,베일리어게인,201812
2829,후드,201901
2835,존윅3:파라벨룸,201908
2836,포화속의우정,201905
2842,죽지않는인간들의밤,202010
2844,아르고,201504
2847,화이트스톰,201402
2849,"러브,어게인",201711
2853,테슬라(2020),202011
2854,라이언,201705
2861,해리포터와혼혈왕자,201701
2865,도로로(2007),201510
2869,영주의애인,201808
2871,데빌데쓰,201611
2874,해피이벤트,201612
2876,나는보리,202006
2881,25시,202102
2890,비투스(2006),201907
2891,거룩한소녀마리아,201410
2901,엽문리부트2020,202011
2904,고스트라이더3D:복수의화신[3D],201810
2906,잔다라어게인:불멸의사랑파트1,201607
2912,극비수사,201507
2915,요로나의저주,201905
2918,트레저헌터플린,202010
2922,패딩턴2,201803
2923,오션스일레븐(2001),201806
2924,더홀,201311
2932,흐르는강물처럼,201612
2939,펠햄123,201303
2940,커넥트(2020),202101
2943,존라베-난징대학살,201612
2944,레이드:첫번째습격,201612
2945,잃어버린세계를찾아서2:신비의섬,201504
2949,리틀큐,202001
2950,백엔의사랑,201607
2951,크리미널[무삭제특별판],201812
2959,인턴십,201610
2963,프라임러브,201601
2965,가디언의전설,201504
2969,아메리칸갱스터(2007),201811
2970,콜드마운틴,201403
2972,나의소녀시대,201606
2973,배틀그라운드:브릿지전투,201712
2986,당대명포:고수의부활,202004
2994,포스마쥬어:화이트베케이션,201601
3008,쇼걸(1995),202012
3009,프라미싱영우먼,202102
3010,미스터노바디,201908
3012,허밍버드,201901
3013,스카이스크래퍼,201808
3014,사도행자:특별수사대,202003
3024,마담보바리,201504
3026,벤자민버튼의시간은거꾸로간다,201504
3028,펜트하우스코끼리,202009
3031,스파이더맨3[확장판],201709
3036,심야의결투,201504
3039,라이온킹:시그니처콜렉션,201907
3042,천녀유혼2-인간도,202005
3048,1987[가치봄],202009
3052,오션스8,201807
3057,찰스디킨스의비밀서재,201802
3064,펠레:버스오브어레전드,201807
3068,덤앤더머,201504
3072,동창생,202002
3076,엽문4:더파이널,202004
3078,콩나물,201909
3082,아바타,201612
3090,인비저블위트니스,201909
3093,자백,201612
3107,콜리니케이스,202007
3113,안녕베일리,201909
3114,이집트왕자2,201902
3130,사대명포3:종극대결전,201612
3134,스카이라인:라스트워,202102
3135,시월애(2000),201812
3142,서버비콘,201808
3147,딥워터호라이즌,202006
3151,프란츠,201708
3154,깨끗하고연약한,201411
3157,미션임파서블2,201112
3179,이티(E.T),201606
3183,쥬라기월드,201701
3185,이연걸의영웅,201909
3202,게이트,202008
3204,50가지그림자:심연,201703
3205,미스페레그린과이상한아이들의집,201611
3208,사라진밤,201804
3213,변신(2019)[가치봄],202010
3217,스텝업:브레이킹쓰루,201709
3232,장수상회,201505
3236,페이스,201304
3240,미안해사랑해고마워,201611
3245,바람난가족(2003),201408
3246,홀리데이헬,202102
3247,첨밀밀,201606
3255,신용문객잔:피안화의저주,202102
3259,명탐정코난:교토신선조살인사건,201708
3263,트루스어바웃엠마누엘,201509
3264,밥정,202011
3265,태양의노래(2006),201704
3278,도신외전,201908
3293,그레이트월,201703
3294,아무도없었다,202101
3297,트리플스렛,201906
3298,모리의정원,202004
3300,골든슬럼버(2018),201803
3303,브라더베어,201409
3304,바람과함께사라지다(1939),201504
3305,창피해,201410
3308,블리딩스틸,201804
3311,인비저블맨,202003
3312,인디펜던스데이:지구침공,201407
3315,몽키킹제로,201701
3325,큐리오사,201905
3329,죽거나혹은나쁘거나,201910
3332,유다이:죽음의24시간,202101
3333,네무덤에침을뱉어라2,201902
3337,무인곽원갑(2006),201912
3340,각자의미식,201903
3341,무비빅(58회)어벤져스:히어로총정리,201904
3343,안티포르노,201706
3345,황후화(2006),201912
3346,폴리스스토리3-초급경찰,202004
3347,롤러코스터,201310
3349,킬링디어,201808
3354,싸움의기술2[무삭제판],202101
3357,"연애,그참을수없는가벼움",201304
3367,플립(2010),201803
3369,AK-47,202009
3371,건달티처,201908
3372,헬보이2:골든아미,201406
3374,사이코메트리,201904
3376,위험한상견례,201208
3388,인싸,202103
3391,공공의적,201807
3398,미스터주부퀴즈왕(2005),202009
3402,정사:금지된사랑,202001
3409,널기다리며,201901
3411,조커,201911
3416,변산,201808
3417,리벨리온,201304
3423,미스터소크라테스(2005),201608
3424,도그빌,201610
3425,러브에버라스팅,201807
3427,멜로,201404
3428,미스리틀선샤인,201803
3430,"그대,고맙소:김호중생애첫팬미팅무비",202010
3431,된장,201310
3433,28일동안(2000),201901
3439,살인병기,201412
3441,남한산성,201711
3442,신데렐라3,201404
3444,픽셀,201508
3445,바운티헌터스:현상금사냥꾼,201706
3449,악인전,201906
3453,갱스터파라다이스,201909
3454,미성년이지만어린애는아냐,201807
3465,슈렉포에버,201211
3466,바후발리:더비기닝,201611
3468,기묘한이야기:리플레이,202007
3469,라비앙로즈,201905
3471,나는나를해고하지않는다,202102
3477,더블:달콤한악몽,201410
