MOVIE_ID,totCnt,MovieCd,MovieNm(csv),movieNm(api),showTm,prdtYear,openDt,typeNm,nationNm,genreNm,watchGrade
3587,0,,삼총사(1973),,,,,,,,
3588,1,20190408,검찰측의죄인,검찰측의 죄인,123,2018,,장편,일본,미스터리,15세이상관람가
3589,1,20126006,아버지없는삶,아버지 없는 삶,78,2012,,장편,한국,다큐멘터리,15세이상관람가
3590,1,20197124,언데드인커밍,언데드 인 커밍,78,2018,,장편,호주,공포(호러),청소년관람불가
3591,1,2010G726,머나먼서부,머나먼 서부,97,1954,,장편,미국,서부극(웨스턴),
3592,1,20199607,데드맨2부:악마의희생자,데드맨 2부: 악마의 희생자,87,2019,,장편,미국,액션,
3593,0,,워(2007),,,,,,,,
3594,1,2009B407,백발마녀전1,비천은원도 : 백발마녀전 1,90,,,,,,
3595,1,20143922,결혼하지않아도괜찮을까,결혼하지 않아도 괜찮을까,106,2012,20150409,장편,일본,드라마,12세이상관람가
3596,3,,샤잠!,,,,,,,,
3597,1,20197088,퍼스트리폼드,퍼스트 리폼드,112,2017,20190411,장편,미국,드라마,15세이상관람가
3598,1,20135140,브레스트요새,브레스트 요새,138,2010,,장편,러시아,액션,
3599,1,20145382,비르:위대한전사,비르: 위대한 전사,162,2010,20141230,장편,인도,전쟁,15세이상관람가
3600,1,20199330,늑대의아이들,늑대의 아이들,87,2018,20191114,장편,폴란드,미스터리,15세이상관람가
3601,8,,우리가족,,,,,,,,
3602,4,,줄루,,,,,,,,
3603,2,,파바로티,,,,,,,,
3604,5,,종이꽃,,,,,,,,
3605,0,,희생(1986),,,,,,,,
3606,0,,엔카운터(2018),,,,,,,,
3607,0,,캣츠(2019)[다국어자막],,,,,,,,
3608,1,20183072,어멍,어멍,95,2018,20191121,장편,한국,드라마,15세이상관람가
3609,1,20135854,우주전쟁제로,우주전쟁 제로,90,2009,,장편,캐나다,SF,
3610,1,20136222,데이워익스펜더블,그들은 희생양이다,135,1945,,장편,미국,전쟁,
3611,1,20145321,웨이오브더위키드,웨이 오브 더 위키드,92,2014,,장편,미국,스릴러,15세이상관람가
3612,1,20166364,니나포에버,니나 포에버,98,2016,20161020,장편,영국,멜로/로맨스,청소년관람불가
3613,42,,섀도우,,,,,,,,
3614,0,,[OCEAN공개]세인트아가타,,,,,,,,
3615,1,20150465,데블핸드,데블핸드,85,2014,20151217,장편,미국,공포(호러),청소년관람불가
3616,1,20161595,스파이:작전명태풍,스파이: 작전명 태풍,101,2013,20160303,장편,러시아,전쟁,12세이상관람가
3617,1,20171554,3류들의사랑,3류들의 사랑,110,2015,20170818,장편,일본,드라마,청소년관람불가
3618,0,,후아유(2002),,,,,,,,
3619,0,,벌지대전투:지옥의사수작전,,,,,,,,
3620,1,20119877,천사의사랑,천사의 사랑,119,2009,20110324,장편,일본,드라마,청소년관람불가
3621,1,2022A497,맨해튼로맨스,맨해튼 로맨스,,2014,,온라인전용,미국,코미디,
3622,1,2022A568,블로우토치,블로우토치,,2016,,온라인전용,미국,범죄,
3623,1,20178322,"섹스후,5일간의여행","섹스 후, 5일간의 여행",94,2010,20180329,장편,미국,드라마,15세이상관람가
3624,0,,록키3(1982),,,,,,,,
3625,0,,눈길(2017)[가치봄],,,,,,,,
3626,1,20040560,레이디스앤젠틀맨,레이디스 앤 젠틀맨,129,2002,,장편,프랑스,멜로/로맨스,15세관람가
3627,1,19960180,프라이멀피어,프라이멀 피어,132,1996,19960524,장편,미국,스릴러,연소자관람불가
3628,0,,C+탐정,,,,,,,,
3629,0,,피아노(1993),,,,,,,,
3630,1,20144441,섬.사라진사람들,섬. 사라진 사람들,87,2015,20160303,장편,한국,스릴러,15세이상관람가
3631,1,20142070,헨젤과그레텔2014,헨젤과 그레텔 2014,90,2013,20140930,장편,미국,공포(호러),청소년관람불가
3632,1,20161081,애나벨:인형의주인,애나벨 : 인형의 주인,108,2017,20170810,장편,미국,공포(호러),15세이상관람가
3633,1,2022A865,판다:야생으로의여정,판다: 야생으로의 여정,,2018,,온라인전용,미국,다큐멘터리,
3634,1,20209013,워위드그랜파,워 위드 그랜파,97,2020,20210224,장편,미국,코미디,12세이상관람가
3635,1,20175702,무서운꿈,무서운 꿈,84,2017,20171207,장편,미국,미스터리,15세이상관람가
3636,1,20138931,로빈슨주교의두가지사랑,로빈슨 주교의 두 가지 사랑,83,2012,20131114,장편,미국,다큐멘터리,15세이상관람가
3637,2,,5X2,,,,,,,,
3638,1,20080355,슬리더,슬리더,95,2006,20080329,장편,미국,미스터리,청소년관람불가
